,index,estimator,value,x,se,bias,variance
0,0,MSIPS,0.3421662560692416,1500,0.5703480778623068,0.2925631791716674,0.7096422025584705
1,0,MIIPS,0.3251067389929928,1500,0.5889308834021909,0.517288764960884,0.001227778752893795
2,0,RIPS,0.31043486288854083,1500,0.6051511217795389,0.11869246966897525,5.229356741680538
3,0,MRIPS,0.43397158649174733,1500,0.47546031745034106,0.31115391629796113,0.29902359742400564
4,0,MRIPS (w/SLOPE),0.33609257726282793,1500,0.5769299417019038,0.3675159551394101,0.09329212014613734
5,0,AIPS (w/UBT),0.6219623891965422,1500,0.3080777311720217,0.25134078113699054,1.5023940443150998
6,1,MSIPS,0.49361650008801955,1500,0.4184359804211996,0.2925631791716674,0.7096422025584705
7,1,MIIPS,0.34041785350069265,1500,0.5722388989815443,0.517288764960884,0.001227778752893795
8,1,RIPS,0.5152304381923741,1500,0.3986705626605752,0.11869246966897525,5.229356741680538
9,1,MRIPS,0.38168551856209704,1500,0.5284443948699881,0.31115391629796113,0.29902359742400564
10,1,MRIPS (w/SLOPE),0.39109057181336015,1500,0.5187073784230484,0.3675159551394101,0.09329212014613734
11,1,AIPS (w/UBT),0.30607703501960015,1500,0.6100112853821333,0.25134078113699054,1.5023940443150998
12,2,MSIPS,0.46015700178992014,1500,0.44997697956750043,0.2925631791716674,0.7096422025584705
13,2,MIIPS,0.42178177458292565,1500,0.4875627114929944,0.517288764960884,0.001227778752893795
14,2,RIPS,0.33720334424529436,1500,0.5757234154257044,0.11869246966897525,5.229356741680538
15,2,MRIPS,0.49427651761379743,1500,0.4178253323858589,0.31115391629796113,0.29902359742400564
16,2,MRIPS (w/SLOPE),1.01938757580376,1500,0.07329426701008983,0.3675159551394101,0.09329212014613734
17,2,AIPS (w/UBT),0.5896913969939862,1500,0.33423915627232553,0.25134078113699054,1.5023940443150998
18,3,MSIPS,0.4140460569733253,1500,0.4953218410156453,0.2925631791716674,0.7096422025584705
19,3,MIIPS,0.40433889548619223,1500,0.5051450390926635,0.517288764960884,0.001227778752893795
20,3,RIPS,0.32241459706760117,1500,0.5918906281665101,0.11869246966897525,5.229356741680538
21,3,MRIPS,0.4307807371557283,1500,0.4786135880146336,0.31115391629796113,0.29902359742400564
22,3,MRIPS (w/SLOPE),0.4176220023652682,1500,0.4917274600702646,0.3675159551394101,0.09329212014613734
23,3,AIPS (w/UBT),0.3048296655344196,1500,0.6114060200683169,0.25134078113699054,1.5023940443150998
24,4,MSIPS,0.6974205345835056,1500,0.2510658066596005,0.2925631791716674,0.7096422025584705
25,4,MIIPS,0.3699763710517581,1500,0.540693363076019,0.517288764960884,0.001227778752893795
26,4,RIPS,0.23660212177194512,1500,0.6901199965782062,0.11869246966897525,5.229356741680538
27,4,MRIPS,0.5231889175467318,1500,0.3915131804827797,0.31115391629796113,0.29902359742400564
28,4,MRIPS (w/SLOPE),0.34411059159293883,1500,0.5682490384715011,0.3675159551394101,0.09329212014613734
29,4,AIPS (w/UBT),0.2366035557172268,1500,0.6901182921679568,0.25134078113699054,1.5023940443150998
30,5,MSIPS,0.22006106600940326,1500,0.7099210030358725,0.2925631791716674,0.7096422025584705
31,5,MIIPS,0.3263057336519921,1500,0.5876150946946509,0.517288764960884,0.001227778752893795
32,5,RIPS,0.32863493942878136,1500,0.585063206936075,0.11869246966897525,5.229356741680538
33,5,MRIPS,0.4106825896056269,1500,0.49871459414822406,0.31115391629796113,0.29902359742400564
34,5,MRIPS (w/SLOPE),0.3484551081031854,1500,0.5635728275946347,0.3675159551394101,0.09329212014613734
35,5,AIPS (w/UBT),0.3214991035303217,1500,0.5928988134496904,0.25134078113699054,1.5023940443150998
36,6,MSIPS,0.9149831732834647,1500,0.11931508029597043,0.2925631791716674,0.7096422025584705
37,6,MIIPS,0.4749456075948195,1500,0.43589500614413557,0.517288764960884,0.001227778752893795
38,6,RIPS,6.004463799440345,1500,10.860974257420253,0.11869246966897525,5.229356741680538
39,6,MRIPS,1.3193540905192822,1500,0.003150891684999264,0.31115391629796113,0.29902359742400564
40,6,MRIPS (w/SLOPE),0.7919624038313211,1500,0.18786098252194675,0.3675159551394101,0.09329212014613734
41,6,AIPS (w/UBT),2.202386549043066,1500,0.33130324175110193,0.25134078113699054,1.5023940443150998
42,7,MSIPS,0.4878135430335504,1500,0.42382406938872325,0.2925631791716674,0.7096422025584705
43,7,MIIPS,0.36297276453794,1500,0.5480869278557134,0.517288764960884,0.001227778752893795
44,7,RIPS,0.2779232970459165,1500,0.6418788228531622,0.11869246966897525,5.229356741680538
45,7,MRIPS,0.5288981208253308,1500,0.3864185996477916,0.31115391629796113,0.29902359742400564
46,7,MRIPS (w/SLOPE),0.3802333836581908,1500,0.529955853771643,0.3675159551394101,0.09329212014613734
47,7,AIPS (w/UBT),0.28016291310617975,1500,0.6393140722604816,0.25134078113699054,1.5023940443150998
48,8,MSIPS,0.7616924997464112,1500,0.20710185382465793,0.2925631791716674,0.7096422025584705
49,8,MIIPS,0.37274474736482655,1500,0.5377846900191607,0.517288764960884,0.001227778752893795
50,8,RIPS,0.7316295882611964,1500,0.22713944162080538,0.11869246966897525,5.229356741680538
51,8,MRIPS,0.4362524647019806,1500,0.47321268866422045,0.31115391629796113,0.29902359742400564
52,8,MRIPS (w/SLOPE),0.6353314034918115,1500,0.2975520281067342,0.3675159551394101,0.09329212014613734
53,8,AIPS (w/UBT),0.3149975023985293,1500,0.6000833681287259,0.25134078113699054,1.5023940443150998
54,9,MSIPS,1.369000322209399,1500,0.0004250129289115897,0.2925631791716674,0.7096422025584705
