,index,estimator,value,x,se,bias,variance
0,0,MSIPS,0.1163651960165906,1500,0.8391865690982503,0.2829497302314663,1.0922915206051467
1,0,MIIPS,0.3113403551455801,1500,0.6013147553181786,0.538475772455607,0.001068858456440123
2,0,RIPS,0.1602320497932536,1500,0.782220271197121,0.08495779264673942,11.795171356743362
3,0,MRIPS,0.19159369448312066,1500,0.7427207821414027,0.33369932645001676,0.3508338193957168
4,0,MRIPS (w/SLOPE),0.18656283444056665,1500,0.7489881599433456,0.38750185136136367,0.15584658250680922
5,0,AIPS (w/UBT),0.2316864413565869,1500,0.6937148965274734,0.10914993443028836,15.291602467908401
6,1,MSIPS,0.09581271782835926,1500,0.8665651331710428,0.2829497302314663,1.0922915206051467
7,1,MIIPS,0.31356669849072527,1500,0.5988269824355101,0.538475772455607,0.001068858456440123
8,1,RIPS,0.18826847408559802,1500,0.7468603465925244,0.08495779264673942,11.795171356743362
9,1,MRIPS,0.16640753359716695,1500,0.7743614371879488,0.33369932645001676,0.3508338193957168
10,1,MRIPS (w/SLOPE),0.16679306044547496,1500,0.7738721369641864,0.38750185136136367,0.15584658250680922
11,1,AIPS (w/UBT),0.2866258724787725,1500,0.6292777169242001,0.10914993443028836,15.291602467908401
12,2,MSIPS,0.30896718413134255,1500,0.6039722754572304,0.2829497302314663,1.0922915206051467
13,2,MIIPS,0.39915867655528153,1500,0.507094470310606,0.538475772455607,0.001068858456440123
14,2,RIPS,0.33629530572651456,1500,0.573724512680429,0.08495779264673942,11.795171356743362
15,2,MRIPS,0.3562421024557522,1500,0.5521372149986057,0.33369932645001676,0.3508338193957168
16,2,MRIPS (w/SLOPE),0.3751630797512121,1500,0.532042671805114,0.38750185136136367,0.15584658250680922
17,2,AIPS (w/UBT),0.40496851593078476,1500,0.5011440665903967,0.10914993443028836,15.291602467908401
18,3,MSIPS,0.37215093387135917,1500,0.5352167166923462,0.2829497302314663,1.0922915206051467
19,3,MIIPS,0.3158560346507987,1500,0.5962741976123791,0.538475772455607,0.001068858456440123
20,3,RIPS,0.28005326574036665,1500,0.636821202965436,0.08495779264673942,11.795171356743362
21,3,MRIPS,0.2192876422623112,1500,0.7086914859024245,0.33369932645001676,0.3508338193957168
22,3,MRIPS (w/SLOPE),0.2149511446639923,1500,0.7139673219803481,0.38750185136136367,0.15584658250680922
23,3,AIPS (w/UBT),0.24332205054563677,1500,0.6798056472759157,0.10914993443028836,15.291602467908401
24,4,MSIPS,0.7294092236881888,1500,0.22459211461029957,0.2829497302314663,1.0922915206051467
25,4,MIIPS,0.41452830030703064,1500,0.49142942496991887,0.538475772455607,0.001068858456440123
26,4,RIPS,0.9282790507769385,1500,0.10921443401776275,0.08495779264673942,11.795171356743362
27,4,MRIPS,0.6836676257159983,1500,0.2569504119402455,0.33369932645001676,0.3508338193957168
28,4,MRIPS (w/SLOPE),0.5182018560690487,1500,0.3921833320868046,0.38750185136136367,0.15584658250680922
29,4,AIPS (w/UBT),0.6887751485942015,1500,0.25322930989292847,0.10914993443028836,15.291602467908401
